lat,lon,satelite,data
  -2.991380, -61.684970,TERRA_M-M,2023-10-10 02:24:00
  -2.877180, -67.040410,TERRA_M-M,2023-10-10 02:24:00
  -2.840080, -67.300410,TERRA_M-M,2023-10-10 02:24:00
  -2.318150, -67.260280,TERRA_M-M,2023-10-10 02:24:00
  -2.314610, -66.902730,TERRA_M-M,2023-10-10 02:24:00
 -12.296630, -59.769330,TERRA_M-M,2023-10-10 02:21:00
 -17.339300, -62.721700,GOES-16,2023-10-10 06:00:00
 -17.339600, -62.701900,GOES-16,2023-10-10 06:00:00
 -17.914700, -62.158300,GOES-16,2023-10-10 06:00:00
 -23.070600, -63.787400,GOES-16,2023-10-10 06:00:00
 -23.091600, -63.764800,GOES-16,2023-10-10 06:00:00
